Etiquette,Presentation (FR)
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:2P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:2S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:2S.NEG,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.) + marque de négation
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3FS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3MP,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3MP.NEG,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. pl.) + marque de négation
PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3MS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3F.Prep.PRON_1S,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
PERFECT_VERB.PVSUFF_SUBJ:3F.Prep.PRON_2S,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 2e pers. sg."
PERFECT_VERB.PVSUFF_SUBJ:3F.Prep.PRON_3MF,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
PERFECT_VERB.PVSUFF_SUBJ:3F.Prep.PRON_3MS,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc. sg."
PERFECT_VERB.PVSUFF_SUBJ:3F.Prep.PRON_3P,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. pl."
PERFECT_VERB.PVSUFF_SUBJ:3MS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.NEG,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + marque de négation
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:1P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:1S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:2S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3FS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3MS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3MS.NEG,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_1S,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_2S,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 2e pers. sg."
PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_3MF,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_3MS,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc. sg."
PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PRON_3P,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. pl."
PERFECT_VERB.PVSUFF_SUBJ:3MS.Prep.PVSUFF_DO:1P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + préposition [variante de casse] + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:2S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:3FS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:3MP,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. pl.)
PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:3MS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
PERFECT_VERB.PVSUFF_SUBJ:P.NEG,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + marque de négation
PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:1P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:1S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:2S,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.)
PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3FS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3MS,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3P,verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. pl.)
PERFECT_VERB.PVSUFF_SUBJ:P.Prep.PRON_1S,"verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
PERFECT_VERB.SUFF_SUBJ:3MS.Prep.PRON_1S,"verbe à l'accompli (perfectif) + suffixe sujet [coquille : préfixe IV/PV manquant] (3e pers. masc. sg.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
PREP-MSA.PRON_3MS,"préposition (arabe standard, MSA) + pronom personnel, 3e pers. masc. sg."
PREP-NOUN.PRON_3P,"préposition + nom (agglutinés) + pronom personnel, 3e pers. pl."
PREP.ADJ,préposition + adjectif
PREP.ADJ-MSA,"préposition + adjectif (arabe standard, MSA)"
PREP.ADJ.NSUFF_FEM_PL,préposition + adjectif + suffixe nominal féminin pluriel
PREP.ADJ.NSUFF_FEM_SG,préposition + adjectif + suffixe nominal féminin singulier
PREP.ADJ.NSUFF_FEM_SG.POSS_PRON_1P,"préposition + adjectif + suffixe nominal féminin singulier + pronom possessif, 1re pers. pl."
PREP.ADJ.POSS_PRON_1P,"préposition + adjectif + pronom possessif, 1re pers. pl."
PREP.ADJ.POSS_PRON_3MP,"préposition + adjectif + pronom possessif, 3e pers. masc. pl."
PREP.ADV,préposition + adverbe
PREP.ADV-foreign,préposition + adverbe d'origine étrangère
PREP.ADV.POSS_PRON_1P,"préposition + adverbe + pronom possessif, 1re pers. pl."
PREP.DEM_PRON,préposition + pronom démonstratif
PREP.DEM_PRON_FS,préposition + pronom démonstratif féminin singulier
PREP.DEM_PRON_FS_MSA,"préposition + pronom démonstratif féminin singulier (arabe standard, MSA)"
PREP.DEM_PRON_MS,préposition + pronom démonstratif masculin singulier
PREP.DEM_PRON_MS_MSA,"préposition + pronom démonstratif masculin singulier (arabe standard, MSA)"
PREP.DEM_PRON_P,préposition + pronom démonstratif pluriel
PREP.DEM_PRON_S,préposition + pronom démonstratif singulier
PREP.DET-foreign.NOUN-Foreign,préposition + déterminant sur base étrangère + nom d'origine étrangère
PREP.DET.ADJ,préposition + déterminant (article défini) + adjectif
PREP.DET.ADJ-MSA,"préposition + déterminant (article défini) + adjectif (arabe standard, MSA)"
PREP.DET.ADJ-MSA.NSUFF_FEM_SG,"préposition + déterminant (article défini) + adjectif (arabe standard, MSA) + suffixe nominal féminin singulier"
PREP.DET.ADJ-MSA.NSUFF_MASC_PL,"préposition + déterminant (article défini) + adjectif (arabe standard, MSA) + suffixe nominal masculin pluriel"
PREP.DET.ADJ-foreign,préposition + déterminant (article défini) + adjectif d'origine étrangère
PREP.DET.ADJ.NSUFF_FEM_SG,préposition + déterminant (article défini) + adjectif + suffixe nominal féminin singulier
PREP.DET.ADJ_MSA,"préposition + déterminant (article défini) + adjectif (arabe standard, MSA)"
PREP.DET.NOUN,préposition + déterminant (article défini) + nom
PREP.DET.NOUN-Foreign,préposition + déterminant (article défini) + nom d'origine étrangère
PREP.DET.NOUN-Foreign.NSUFF_FEM_PL,préposition + déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin pluriel
PREP.DET.NOUN-Foreign.NSUFF_FEM_SG,préposition + déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin singulier
PREP.DET.NOUN-MSA,"préposition + déterminant (article défini) + nom (arabe standard, MSA)"
PREP.DET.NOUN-MSA.NSUFF_FEM_PL,"préposition + déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin pluriel"
PREP.DET.NOUN-MSA.NSUFF_FEM_SG,"préposition + déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin singulier"
PREP.DET.NOUN.NSUFF_FEM_PL,préposition + déterminant (article défini) + nom + suffixe nominal féminin pluriel
PREP.DET.NOUN.NSUFF_FEM_SG,préposition + déterminant (article défini) + nom + suffixe nominal féminin singulier
PREP.DET.NOUN.NSUFF_MASC_PL,préposition + déterminant (article défini) + nom + suffixe nominal masculin pluriel
PREP.DET.PROPN,préposition + déterminant (article défini) + nom propre
PREP.DET.PROPN.NSUFF_FEM_SG,préposition + déterminant (article défini) + nom propre + suffixe nominal féminin singulier
PREP.FUNC_WORD,préposition + mot outil / mot fonctionnel
PREP.FUNC_WORD-MSA.PRON_3FS,"préposition + mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 3e pers. fém. sg."
PREP.FUNC_WORD-MSA.PRON_3MP,"préposition + mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 3e pers. masc. pl."
PREP.FUNC_WORD.PRON_3MP,"préposition + mot outil / mot fonctionnel + pronom personnel, 3e pers. masc. pl."
PREP.INTERJ,préposition + interjection
PREP.NOUN,préposition + nom
PREP.NOUN-Foreign,préposition + nom d'origine étrangère
PREP.NOUN-Foreign.NSUFF_FEM_PL,préposition + nom d'origine étrangère + suffixe nominal féminin pluriel
PREP.NOUN-Foreign.NSUFF_FEM_SG,préposition + nom d'origine étrangère + suffixe nominal féminin singulier
PREP.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_1S,"préposition + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
PREP.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_2S,"préposition + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 2e pers. sg."
PREP.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_3FS,"préposition + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 3e pers. fém. sg."
PREP.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_3MP,"préposition + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. pl."
PREP.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_3MS,"préposition + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. sg."
PREP.NOUN-Foreign.POSS_PRON_1S,"préposition + nom d'origine étrangère + pronom possessif, 1re pers. sg."
PREP.NOUN-Foreign.POSS_PRON_3FS,"préposition + nom d'origine étrangère + pronom possessif, 3e pers. fém. sg."
PREP.NOUN-Foreign.POSS_PRON_3MS,"préposition + nom d'origine étrangère + pronom possessif, 3e pers. masc. sg."
PREP.NOUN-MSA,"préposition + nom (arabe standard, MSA)"
PREP.NOUN-MSA-D.NSUFF_FEM_SG,"préposition + nom (arabe standard, MSA), forme déterminée + suffixe nominal féminin singulier"
PREP.NOUN-MSA.NSUFF_FEM_PL,"préposition + nom (arabe standard, MSA) + suffixe nominal féminin pluriel"
PREP.NOUN-MSA.NSUFF_FEM_PL.POSS_PRON_1S,"préposition + nom (arabe standard, MSA) + suffixe nominal féminin pluriel + pronom possessif, 1re pers. sg."
PREP.NOUN-MSA.NSUFF_FEM_SG,"préposition + nom (arabe standard, MSA) + suffixe nominal féminin singulier"
PREP.NOUN-MSA.NSUFF_FEM_SG.POSS_PRON_1S,"préposition + nom (arabe standard, MSA) + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
PREP.NOUN-MSA.NSUFF_FEM_SG.POSS_PRON_2S,"préposition + nom (arabe standard, MSA) + suffixe nominal féminin singulier + pronom possessif, 2e pers. sg."
PREP.NOUN-MSA.NSUFF_FEM_SG.POSS_PRON_3FS,"préposition + nom (arabe standard, MSA) + suffixe nominal féminin singulier + pronom possessif, 3e pers. fém. sg."
PREP.NOUN-MSA.POSS_PRON_1S,"préposition + nom (arabe standard, MSA) + pronom possessif, 1re pers. sg."
PREP.NOUN-MSA.POSS_PRON_2S,"préposition + nom (arabe standard, MSA) + pronom possessif, 2e pers. sg."
PREP.NOUN.NSUFF_FEM_PL,préposition + nom + suffixe nominal féminin pluriel
PREP.NOUN.NSUFF_FEM_PL.POSS_PRON_1P,"préposition + nom + suffixe nominal féminin pluriel + pronom possessif, 1re pers. pl."
PREP.NOUN.NSUFF_FEM_PL.POSS_PRON_2MP,"préposition + nom + suffixe nominal féminin pluriel + pronom possessif, 2e pers. masc. pl."
PREP.NOUN.NSUFF_FEM_PL.POSS_PRON_3MS,"préposition + nom + suffixe nominal féminin pluriel + pronom possessif, 3e pers. masc. sg."
PREP.NOUN.NSUFF_FEM_SG,préposition + nom + suffixe nominal féminin singulier
PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_1P,"préposition + nom + suffixe nominal féminin singulier + pronom possessif, 1re pers. pl."
PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_1S,"préposition + nom + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_2S,"préposition + nom + suffixe nominal féminin singulier + pronom possessif, 2e pers. sg."
PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_3FS,"préposition + nom + suffixe nominal féminin singulier + pronom possessif, 3e pers. fém. sg."
PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_3MP,"préposition + nom + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. pl."
PREP.NOUN.NSUFF_FEM_SG.POSS_PRON_3MS,"préposition + nom + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. sg."
PREP.NOUN.NSUFF_MASC.POSS_PRON_2S,"préposition + nom + suffixe nominal masculin + pronom possessif, 2e pers. sg."
PREP.NOUN.NSUFF_MASC.POSS_PRON_3FS,"préposition + nom + suffixe nominal masculin + pronom possessif, 3e pers. fém. sg."
PREP.NOUN.NSUFF_MASC_DU,préposition + nom + suffixe nominal masculin duel
PREP.NOUN.NSUFF_MASC_DU.POSS_PRON_1P,"préposition + nom + suffixe nominal masculin duel + pronom possessif, 1re pers. pl."
PREP.NOUN.NSUFF_MASC_DU.POSS_PRON_3FS,"préposition + nom + suffixe nominal masculin duel + pronom possessif, 3e pers. fém. sg."
PREP.NOUN.NSUFF_MASC_DU.POSS_PRON_3MS,"préposition + nom + suffixe nominal masculin duel + pronom possessif, 3e pers. masc. sg."
PREP.NOUN.POSS_PRON_1P,"préposition + nom + pronom possessif, 1re pers. pl."
PREP.NOUN.POSS_PRON_1S,"préposition + nom + pronom possessif, 1re pers. sg."
PREP.NOUN.POSS_PRON_2MP,"préposition + nom + pronom possessif, 2e pers. masc. pl."
PREP.NOUN.POSS_PRON_2S,"préposition + nom + pronom possessif, 2e pers. sg."
PREP.NOUN.POSS_PRON_3FS,"préposition + nom + pronom possessif, 3e pers. fém. sg."
PREP.NOUN.POSS_PRON_3MP,"préposition + nom + pronom possessif, 3e pers. masc. pl."
PREP.NOUN.POSS_PRON_3MS,"préposition + nom + pronom possessif, 3e pers. masc. sg."
PREP.NOUN.PRON_1S,"préposition + nom + pronom personnel, 1re pers. sg."
PREP.NOUN.PRON_2S,"préposition + nom + pronom personnel, 2e pers. sg."
PREP.NOUN.PRON_3FS,"préposition + nom + pronom personnel, 3e pers. fém. sg."
PREP.Numb-foreign,préposition + numéral d'origine étrangère
PREP.POSS_PRON_2S,"préposition + pronom possessif, 2e pers. sg."
PREP.POSS_PRON_3MP,"préposition + pronom possessif, 3e pers. masc. pl."
PREP.PRON_1P,"préposition + pronom personnel, 1re pers. pl."
PREP.PRON_1S,"préposition + pronom personnel, 1re pers. sg."
PREP.PRON_1S-NEG,préposition + pronom personnel 1re pers. sg. + marque de négation
PREP.PRON_2P,"préposition + pronom personnel, 2e pers. pl."
PREP.PRON_2S,"préposition + pronom personnel, 2e pers. sg."
PREP.PRON_3FS,"préposition + pronom personnel, 3e pers. fém. sg."
PREP.PRON_3FS.NEG,"préposition + pronom personnel, 3e pers. fém. sg. + marque de négation"
PREP.PRON_3MP,"préposition + pronom personnel, 3e pers. masc. pl."
PREP.PRON_3MP.NEG,"préposition + pronom personnel, 3e pers. masc. pl. + marque de négation"
PREP.PRON_3MS,"préposition + pronom personnel, 3e pers. masc. sg."
PREP.PRON_3P,"préposition + pronom personnel, 3e pers. pl."
PREP.PROPN,préposition + nom propre
PREP.REL_PRON,préposition + pronom relatif
PREP.REL_PRON-MSA,"préposition + pronom relatif (arabe standard, MSA)"
PRG_PART.IMPERFECT_VERB.IVSUFF_SUBJ,particule de progressif (aspect progressif) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
PRG_PART.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,particule de progressif (aspect progressif) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)
PRG_PART.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,particule de progressif (aspect progressif) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
PRG_PART.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,particule de progressif (aspect progressif) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)
PRG_PART.IMPERFECT_VERB.IVSUFF_SUBJ:2FS,particule de progressif (aspect progressif) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.)
PRG_PART.IV-MSA.IVSUFF_SUBJ,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
PRG_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
PRG_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
PRG_PART.IV1P.IMPERFECT_VERB_MSA.IVSUFF_SUBJ:P,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli (pl.)"
PRG_PART.IV1P.IV-foreign.IVSUFF_SUBJ:P,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. pl. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli (pl.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MP,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. pl.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3S,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. sg.)"
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_2P,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 2e pers. pl."
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_3MF,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_3MS,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 3e pers. masc. sg."
PRG_PART.IV1S.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
PRG_PART.IV1S.IMPERFECT_VERB_MSA.IVSUFF_SUBJ.IVSUFF_DO:3FS,"particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
